filename,valence,arousal,mood_tags
Hidden Truth.mp3,3.305566788,2.921682358,action|adventure|advertising|documentary|drama|dramatic|emotional|epic|film|movie|nature|trailer
Honor Bound.mp3,4.18821764,5.344932556,action|adventure|dark|documentary|dramatic|emotional|epic|film|heavy|movie|powerful|trailer
Horror Mytery.mp3,2.744399309,3.111550331,calm|dark|deep|dream|meditative|nature|relaxing|soundscape|space
Horroriffic.mp3,3.628023386,3.593844891,action|adventure|dark|documentary|drama|dramatic|emotional|epic|film|movie|sad|trailer
Improv for Evil.mp3,5.63305521,6.452753544,action|adventure|advertising|dark|documentary|dramatic|epic|film|game|heavy|movie|powerful|space|trailer
Inventing Flight.mp3,5.336136818,4.619083881,children|commercial|corporate|documentary|dramatic|emotional|epic|happy|nature|trailer
Isolation Waltz.mp3,4.387295723,2.749492168,advertising|calm|children|commercial|documentary|dream|film|happy|hopeful|inspiring|love|meditative|movie|nature|relaxing|romantic|sad|soft|soundscape|uplifting
La Citadelle.mp3,5.845676422,3.731547832,calm|children|dream|happy|hopeful|love|meditative|nature|positive|relaxing|soft|travel|uplifting
Landra's Dream.mp3,5.544825077,4.06750679,calm|children|energetic|fun|funny|happy|hopeful|inspiring|love|positive|summer|travel|upbeat|uplifting
Lovely Piano Song.mp3,4.890990257,2.601986885,calm|christmas|emotional|happy|holiday|hopeful|relaxing|romantic|soft|uplifting
Lucky Break.mp3,5.485827446,4.435771942,adventure|ballad|calm|cool|documentary|meditative|melodic|movie|nature|relaxing|romantic|sad|soft
Managing Mischief.mp3,5.266782284,3.653549671,adventure|advertising|background|calm|children|christmas|documentary|drama|fun|funny|happy|holiday|nature|relaxing|romantic|sad|soft
Meditating Beat.mp3,3.802443504,3.090304613,advertising|calm|drama|dramatic|emotional|epic|film|hopeful|inspiring|meditative|movie|nature|relaxing|romantic|sad|soft|soundscape|uplifting
Mind Chaos.mp3,2.416298151,2.932384253,dark|drama|film|soundscape|travel
Modern Island Jam.mp3,5.378919125,3.914339542,advertising|background|calm|cool|corporate|deep|groovy|hopeful|inspiring|love|melancholic|motivational|positive|relaxing|romantic|sad|sexy|soft|summer|uplifting
Murder On The Bayou.mp3,5.0097332,4.808684349,background|commercial|energetic|happy|heavy|inspiring|positive|soundscape|travel
My Giant Bunny Friend.mp3,7.52028513,6.62993145,advertising|children|christmas|commercial|corporate|documentary|fast|fun|funny|game|groovy|happy|holiday|nature|party|positive|travel|upbeat|uplifting
Mysterious Lights.mp3,3.602310658,3.168045998,dark|documentary|dream|meditative|nature|relaxing|soundscape|space
Natural Vibes.mp3,5.883193016,4.064085007,advertising|background|calm|children|commercial|cool|corporate|fun|happy|hopeful|inspiring|motivational|positive|relaxing|romantic|soft|summer|uplifting
New Hero in Town.mp3,4.525596142,4.514138222,action|adventure|dark|drama|dramatic|epic|film|movie|powerful|trailer
